,url,day,month,year
97,"http://www.dobreprogramy.pl/djfoxer,Rss",6.0,3.0,2016.0
98,"http://www.dobreprogramy.pl/djfoxer,Rss",13.0,1.0,2016.0
99,"http://www.dobreprogramy.pl/djfoxer,Rss",11.0,11.0,2015.0
100,"http://www.dobreprogramy.pl/djfoxer,Rss",27.0,7.0,2015.0
101,"http://www.dobreprogramy.pl/djfoxer,Rss",28.0,3.0,2015.0
102,"http://www.dobreprogramy.pl/djfoxer,Rss",28.0,1.0,2015.0
103,"http://www.dobreprogramy.pl/djfoxer,Rss",13.0,1.0,2015.0
104,"http://www.dobreprogramy.pl/djfoxer,Rss",7.0,1.0,2015.0
105,"http://www.dobreprogramy.pl/djfoxer,Rss",19.0,10.0,2014.0
106,http://czekanski.info/feed/,20.0,3.0,2016.0
107,http://czekanski.info/feed/,17.0,3.0,2016.0
108,http://czekanski.info/feed/,13.0,3.0,2016.0
109,http://czekanski.info/feed/,6.0,3.0,2016.0
110,http://czekanski.info/feed/,29.0,2.0,2016.0
111,https://tomoitblog.wordpress.com/feed/,4.0,3.0,2016.0
112,https://tomoitblog.wordpress.com/feed/,19.0,2.0,2016.0
113,https://tomoitblog.wordpress.com/feed/,13.0,2.0,2016.0
114,https://tomoitblog.wordpress.com/feed/,11.0,2.0,2016.0
115,https://tomoitblog.wordpress.com/feed/,2.0,2.0,2016.0
116,https://tomoitblog.wordpress.com/feed/,1.0,2.0,2016.0
117,http://codingpersona.com/feed/,5.0,2.0,2015.0
118,http://devfirststeps.blog.pl/feed/,19.0,2.0,2016.0
119,http://devfirststeps.blog.pl/feed/,16.0,2.0,2016.0
120,http://devfirststeps.blog.pl/feed/,16.0,2.0,2016.0
121,http://devfirststeps.blog.pl/feed/,11.0,2.0,2016.0
122,http://devfirststeps.blog.pl/feed/,4.0,2.0,2016.0
123,http://devfirststeps.blog.pl/feed/,2.0,2.0,2016.0
124,http://devfirststeps.blog.pl/feed/,1.0,2.0,2016.0
125,http://doriansobacki.pl/feed/,27.0,3.0,2016.0
126,http://doriansobacki.pl/feed/,26.0,3.0,2016.0
127,http://doriansobacki.pl/feed/,20.0,3.0,2016.0
128,http://doriansobacki.pl/feed/,14.0,3.0,2016.0
129,http://doriansobacki.pl/feed/,6.0,11.0,2015.0
