"","0","1","2","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"wtorek",1,0,0,0,1,0,2,0,6,0,2,6,2,0,2,2,5,5,14,7,9,6
"środa",0,0,0,1,3,0,1,1,6,3,3,7,1,3,4,2,1,6,11,20,12,7
"czwartek",1,2,0,0,4,1,7,4,7,12,7,5,6,12,5,2,12,0,17,17,5,5
"piątek",0,0,0,0,2,8,5,5,5,2,5,9,4,12,10,2,2,2,3,6,10,9
"sobota",5,5,2,0,0,0,4,8,5,8,6,3,4,5,7,2,1,2,2,6,6,7
"niedziela",2,2,2,0,2,3,2,1,8,10,13,8,4,1,3,12,4,22,11,6,1,7
