tag,count,devs
ruby on rails,7,"http://codingpersona.com,http://devfirststeps.blog.pl,https://michalzajac.me,http://halibuti.blogspot.com,http://takiarek.com,http://dev.kielczykowski.pl,http://maciektalaska.github.io"
c++,22,"http://czekanski.info,http://gronek.gq,http://negativeprogrammer.blogspot.com,http://blog.chyla.org,http://tomasz.dudziak.eu,http://perceptrons.prv.pl,http://www.karolpysklo.pl,http://student.agh.edu.pl/~kefas,https://slaviannblog.wordpress.com,http://xaocml.me,http://metodprojekt.blogspot.com,https://devprzemm.wordpress.com,http://addictedtocreating.pl,http://0x00antdot.blogspot.com,http://michal.muskala.eu,http://bentkowski.northeurope.cloudapp.azure.com,http://www.arturnet.pl,http://mariuszbartosik.com,http://newstech.pl,http://www.marcinklimek.pl/blog,http://www.cleancodestruggle.blogspot.com,http://terianil.blogspot.com"
api,2,"http://marcinkowalczyk.pl/blog,http://www.resumees.net/devblog"
spring,9,"https://tomoitblog.wordpress.com,http://namiekko.pl,http://blog.napierala.org.pl,http://paweldobrzanski.pl/blog,http://marcinkowalczyk.pl/blog,http://blog.yotkaz.me,http://mnets.simplesite.com,http://code-addict.pl,http://code-addict.pl"
ef,9,"http://www.crynkowski.pl,http://www.przemyslawowsianik.net,http://mcupial.pl,http://www.marcinwojdak.pl,http://codestorm.pl,http://foreverframe.pl,http://kazaarblog.blogspot.com,http://www.langusblog.pl,http://mzieba.com"
lua,2,"http://blog.bga.pl,http://www.arturnet.pl"
r,2,"http://macieklesiczka.github.io,https://bizon7nt.github.io"
cordova,6,"http://lion.net.pl/blog,http://codinghabit.pl,http://paweljurczynski.pl,http://krzyskowk.postach.io,http://damiankedzior.com,http://www.ionicdsp.eu"
webapi,5,"http://www.marcinszyszka.pl,http://kduszynski.pl,http://www.diwebsity.com,http://straightouttacode.net,http://czesio-w-it.2ap.pl"
core,11,"http://www.dedlajn.pl,http://pyrzyk.net,https://devblog.dymel.pl,http://koscielniak.me,http://koscielniak.me,http://maciejskuratowski.com,http://blog.kurpio.com,http://plotzwi.com,http://tsovek.blogspot.com,http://www.langusblog.pl,http://mzieba.com"
hibernate,2,"http://paweldobrzanski.pl/blog,http://blog.yotkaz.me"
aws,2,"http://asznajder.github.io,https://jacek.migdal.pl"
