date,id,source,type
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-04-24,0,rgonek,proj
2016-05-01,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-02,0,rgonek,proj
2016-05-03,0,rgonek,proj
2016-05-03,0,rgonek,proj
2016-05-03,0,rgonek,proj
2016-05-03,0,rgonek,proj
2016-05-03,0,rgonek,proj
2016-05-03,0,rgonek,proj
2016-05-14,0,rgonek,proj
2016-05-14,0,rgonek,proj
2016-05-14,0,rgonek,proj
2016-05-14,0,rgonek,proj
2016-05-15,0,rgonek,proj
2016-05-15,0,rgonek,proj
2016-05-15,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-05-21,0,rgonek,proj
2016-04-07,0,rgonek,proj
2016-04-07,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
2016-04-09,0,rgonek,proj
