,source,target
0,239937198,4707642521
1,239937198,704695496040980480
2,239937198,3493483349
3,239937198,706597348793835520
4,239937198,1246511250
5,239937198,365657367
6,239937198,3408662267
7,239937198,953864706
8,239937198,1304510454
9,239937198,878527075
10,239937198,3794159596
11,239937198,1245495422
12,239937198,2823762420
13,239937198,171944115
14,239937198,2513701710
15,239937198,4888524089
16,239937198,1245409657
17,239937198,224410297
18,239937198,2787596656
19,239937198,199369115
20,239937198,184172560
21,239937198,1321337610
22,239937198,72413846
23,239937198,695003833534144512
24,239937198,704971993817415680
25,239937198,24153739
26,24153739,3879205102
27,24153739,1304510454
28,24153739,171944115
29,24153739,953864706
30,24153739,4707642521
31,24153739,1321337610
32,24153739,72413846
33,24153739,703537931642871808
34,24153739,3794159596
35,24153739,878527075
36,24153739,704695496040980480
37,24153739,3698318122
38,24153739,711510215452188672
39,24153739,695003833534144512
40,24153739,704971993817415680
41,24153739,4888524089
42,24153739,239937198
43,24153739,3408662267
44,24153739,706597348793835520
45,24153739,107999145
46,24153739,365657367
47,24153739,168610110
48,24153739,348573368
49,24153739,2513701710
50,24153739,2787596656
51,24153739,3493483349
52,24153739,184172560
53,24153739,471080505
54,24153739,1245409657
55,711510215452188672,72413846
56,711510215452188672,706597348793835520
57,711510215452188672,703537931642871808
58,711510215452188672,365657367
59,711510215452188672,3408662267
60,184172560,2787596656
61,184172560,24153739
62,184172560,704695496040980480
63,184172560,239937198
64,184172560,4888524089
65,953864706,24153739
66,953864706,1246511250
67,953864706,72413846
68,953864706,365657367
69,107999145,24153739
70,107999145,168610110
71,107999145,348573368
72,107999145,72413846
73,2787596656,24153739
74,2787596656,239937198
75,2787596656,1304510454
76,2787596656,4888524089
77,2787596656,171944115
78,2787596656,878527075
79,2787596656,2513701710
80,2787596656,199369115
81,2787596656,1245409657
82,348573368,3408662267
83,348573368,24153739
84,348573368,953864706
85,348573368,704695496040980480
86,348573368,168610110
87,171944115,24153739
88,171944115,1245409657
89,171944115,3698318122
90,72413846,704971993817415680
91,703537931642871808,711510215452188672
92,703537931642871808,168610110
93,3408662267,348573368
94,3408662267,711510215452188672
95,3408662267,24153739
96,3408662267,2823762420
97,3408662267,878527075
98,3408662267,695003833534144512
99,3408662267,171944115
100,3408662267,706597348793835520
101,3408662267,199369115
102,3408662267,3794159596
103,3408662267,471080505
104,3408662267,239937198
105,3408662267,1245409657
106,3408662267,365657367
107,3408662267,1246511250
108,3408662267,1245495422
109,471080505,706597348793835520
110,471080505,3408662267
111,471080505,24153739
112,878527075,24153739
113,878527075,3408662267
114,1304510454,239937198
115,1304510454,2787596656
116,3794159596,24153739
117,3794159596,704695496040980480
118,3794159596,3408662267
119,3794159596,2513701710
120,3698318122,706597348793835520
121,3698318122,1245409657
122,3698318122,171944115
123,704695496040980480,24153739
124,704695496040980480,168610110
125,704695496040980480,3794159596
126,704695496040980480,1246511250
127,704695496040980480,1245409657
128,704695496040980480,348573368
129,704695496040980480,184172560
130,704695496040980480,239937198
131,168610110,24153739
132,365657367,953864706
133,365657367,1413660487
134,365657367,1246511250
135,706597348793835520,471080505
136,706597348793835520,24153739
137,706597348793835520,3698318122
138,706597348793835520,3408662267
139,706597348793835520,2787596656
140,706597348793835520,1304510454
141,706597348793835520,2513701710
142,706597348793835520,239937198
143,4888524089,72413846
144,4707642521,2513701710
145,1413660487,953864706
146,1413660487,1246511250
147,1413660487,365657367
148,803872440,2513701710
149,1246511250,365657367
150,1246511250,953864706
151,704971993817415680,72413846
152,199369115,1321337610
