blog_url,user,first_name,last_name
http://bartmalanczuk.github.io,bartmalanczuk,Bartłomiej,Małańczuk
http://www.nowas.pl,_nowas,Patryk,Nowacki
http://www.owsiak.org,mkowsiak,Michal,Owsiak
https://devblog.dymel.pl,mdymel,Michał,Dymel
http://tomaszkacmajor.pl,tkacmajor,Tomasz,Kacmajor
http://bodolsog.pl/blog,bodolsog,Paweł,Drozd
http://mbork.pl,marcin_mbork,Marcin,Borkowski
https://jporwol.wordpress.com,pako1337,Jarosław,Porwoł
http://www.cojakodze.pl,gzaxx,Grzesiek,Siemoniak
http://blog.chyla.org,ChylaAdam,Adam,Chyła
http://www.programuje.net,wybraniect,Tomasz,Wybraniec
http://jakubskoczen.pl,qbasko,Jakub,Skoczeń
http://t-code.pl,tpluscode,Tomasz,Pluskiewicz
http://chmielowski.net,p_chmielowski,Piotr,Chmielowski
http://localwire.pl,me_wilczynski,Michał,Wilczyński
http://piotrgankiewicz.com/blog,spetzu,Piotr,Gankiewicz
http://www.paweltymura.pl,ptymura,Paweł,Tymura
http://pawelrzepinski.azurewebsites.net,przepinski,Paweł,Rzepiński
http://dev.nitwoe.com,szymon_licau,Szymon,Licau
http://blog.creyn.pl,pakowalik,Paweł,Kowalik
http://www.diwebsity.com,mdymel,Adrian,Sroka
http://md-techblog.net.pl,MDziubiak,Marian,Dziubiak
http://hryniewski.net,Ebanz88,Rafał,Hryniewski
http://www.przemyslawowsianik.net,PrzemekOwsianik,Przemysław,Owsianik
http://programistka.net,programistka,Iwona,Lalik
http://marcindrobik.pl,mandrek44,Marcin,Drobik
http://brinf.wordpress.com,b_ratajczyk,Bartosz,Ratajczyk
http://foreverframe.pl,d_pawlukiewicz,Dariusz,Pawlukiewicz
http://www.adambac.com,abac00s,Adam,Bac
http://www.arturnet.pl,Art3Ska,Artur,Smółka
https://gettoknowthebob.wordpress.com,ChirpingStudio,Radoslaw,Bob
http://piotr-wandycz.pl,PiotrWandycz,Piotr,Wandycz
https://medium.com/@marcinmatuszak,AdamBrodziak,Marcin,Matuszak
http://michalgellert.blogspot.com,MichalGellert,Michał,Gellert
http://donpiekarz.pl,DonPiekarz,Bartłomiej,Piekarski
http://ggajos.com,ggajos,Grzegorz,Gajos
http://novakov.github.io,maciejt_nowak,Maciej,Nowak
http://michalogluszka.pl,michalogluszka,Michał,Ogłuszka
http://emi.gd,szymanskaemilka,Emilia,Szymańska
http://dsp.katafrakt.me,katafrakt_pl,Paweł,Świątkowski
http://czekanski.info,JaCzekanski,Jakub,Czekański
http://pumiko.pl,pumi_ko,Magdalena,Stec
http://msaldak.pl,msaldak,Mariusz,Sałdak
http://www.csharks.blogspot.com,hajdusia,Anna,Hajduk
http://damiankedzior.com,DamianKedzior,Damian,Kędzior
http://sebcza.pl,sebczapl,Sebastian,Czarnecki
https://jacek.migdal.pl,jakozaur,Jacek,Migdał
http://toomanyitprojects.azurewebsites.net,Jan_Grzybowski,Janek,Grzybowski
http://jaroslawstadnicki.pl,j_stadnicki,Jarosław,Stadnicki
https://branegblog.wordpress.com,branegg,Filip,Brankiewicz
http://przemek.ciacka.com/articles.html,pciacka,Przemysław,Ciąćka
https://dziewczynazpytonem.wordpress.com,dziewczynazpyt,Dziewczyna,z pytonem
http://kduszynski.pl,kajdusz,Kajetan,Duszyński
http://www.wearesicc.com,SICCPL,Maciej,Korsan
http://straightouttacode.net,dhermyt,Daniel,Hermyt
http://krzyskowk.postach.io,KrzyskowK,Krzysztof,Krzyśków
http://www.mikolajdemkow.pl,MDikkii,Mikołaj,Demków
http://blog.kokosa.net,konradkokosa,Konrad,Kokosa
http://blog.kars7e.io,kars7e,Karol,Stepniewski
http://andrzejdubaj.com,AndrzejDubaj,Andrzej,Dubaj
http://blog.jhossa.net,JakubHossa,Jakub,Hossa
http://blog.leszczynski.it,leszczynski_it,Piotr,Leszczyński
https://blog.scooletz.com,Scooletz,Szymon,Kulec
http://www.mfranc.com,francmichal,Michal,Franc
http://pyrzyk.net,lukaszpyrzyk,Łukasz,Pyrzyk
http://macieklesiczka.github.io,MaciekLesiczka,Maciej,Lesiczka
http://skobo.pl,Adamskodev,Adam,Skobodziński
http://lazybitch.com,piotrstadnik,Piotr,Stadnik
http://codestorm.pl,borowczykk,Krzysztof,Borowczyk
http://rzeczybezinternetu.blogspot.com,slavciu,Sławomir,Rudawski
https://duszekmestre.wordpress.com,larciszewski,Łukasz,Arciszewski
http://koscielniak.me,pikoscielniak,Piotr,Kościelniak
http://bentkowski.northeurope.cloudapp.azure.com,BentkowskiJakub,Jakub,Bentkowski
