,url,day,month,year
190,http://negativeprogrammer.blogspot.com/feeds/posts/default,26.0,2.0,2016.0
191,http://negativeprogrammer.blogspot.com/feeds/posts/default,21.0,2.0,2016.0
192,http://negativeprogrammer.blogspot.com/feeds/posts/default,20.0,2.0,2016.0
193,http://negativeprogrammer.blogspot.com/feeds/posts/default,16.0,2.0,2016.0
194,http://negativeprogrammer.blogspot.com/feeds/posts/default,15.0,2.0,2016.0
195,http://negativeprogrammer.blogspot.com/feeds/posts/default,14.0,2.0,2016.0
196,http://negativeprogrammer.blogspot.com/feeds/posts/default,12.0,2.0,2016.0
197,http://negativeprogrammer.blogspot.com/feeds/posts/default,11.0,2.0,2016.0
198,http://negativeprogrammer.blogspot.com/feeds/posts/default,10.0,2.0,2016.0
199,http://negativeprogrammer.blogspot.com/feeds/posts/default,9.0,2.0,2016.0
200,http://negativeprogrammer.blogspot.com/feeds/posts/default,8.0,2.0,2016.0
201,http://negativeprogrammer.blogspot.com/feeds/posts/default,7.0,2.0,2016.0
202,http://negativeprogrammer.blogspot.com/feeds/posts/default,6.0,2.0,2016.0
203,http://negativeprogrammer.blogspot.com/feeds/posts/default,6.0,2.0,2016.0
204,http://negativeprogrammer.blogspot.com/feeds/posts/default,6.0,2.0,2016.0
205,http://devbochenek.pl/feed/,8.0,3.0,2016.0
206,http://devbochenek.pl/feed/,6.0,3.0,2016.0
207,http://devbochenek.pl/feed/,2.0,3.0,2016.0
208,http://devbochenek.pl/feed/,24.0,2.0,2016.0
209,http://devbochenek.pl/feed/,22.0,2.0,2016.0
210,http://devbochenek.pl/feed/,11.0,2.0,2016.0
211,http://devbochenek.pl/feed/,10.0,2.0,2016.0
212,https://dziewczynazpytonem.wordpress.com/feed/,13.0,3.0,2016.0
213,https://dziewczynazpytonem.wordpress.com/feed/,7.0,3.0,2016.0
214,https://dziewczynazpytonem.wordpress.com/feed/,1.0,3.0,2016.0
215,https://dziewczynazpytonem.wordpress.com/feed/,6.0,2.0,2016.0
216,https://dziewczynazpytonem.wordpress.com/feed/,2.0,2.0,2016.0
217,https://dziewczynazpytonem.wordpress.com/feed/,28.0,1.0,2016.0
218,https://dziewczynazpytonem.wordpress.com/feed/,23.0,1.0,2016.0
219,https://dziewczynazpytonem.wordpress.com/feed/,20.0,1.0,2016.0
220,https://dziewczynazpytonem.wordpress.com/feed/,17.0,1.0,2016.0
221,https://dziewczynazpytonem.wordpress.com/feed/,13.0,1.0,2016.0
222,http://blog.chyla.org/rss,20.0,3.0,2016.0
223,http://blog.chyla.org/rss,13.0,3.0,2016.0
224,http://blog.chyla.org/rss,11.0,3.0,2016.0
225,http://blog.chyla.org/rss,4.0,3.0,2016.0
226,http://blog.chyla.org/rss,1.0,3.0,2016.0
227,http://blog.chyla.org/rss,1.0,3.0,2016.0
228,http://blog.chyla.org/rss,23.0,4.0,2015.0
229,http://blog.chyla.org/rss,15.0,3.0,2015.0
230,http://blog.chyla.org/rss,18.0,2.0,2015.0
231,http://blog.chyla.org/rss,17.0,1.0,2015.0
232,http://szymekk.me/blog/feed/,25.0,3.0,2016.0
233,http://szymekk.me/blog/feed/,19.0,3.0,2016.0
234,http://szymekk.me/blog/feed/,6.0,3.0,2016.0
235,http://szymekk.me/blog/feed/,2.0,3.0,2016.0
236,http://szymekk.me/blog/feed/,6.0,2.0,2016.0
237,http://www.dedlajn.pl/feeds/posts/default,8.0,3.0,2016.0
238,http://www.dedlajn.pl/feeds/posts/default,4.0,3.0,2016.0
239,http://www.dedlajn.pl/feeds/posts/default,1.0,3.0,2016.0
240,http://www.dedlajn.pl/feeds/posts/default,6.0,2.0,2016.0
241,http://filipcinik.azurewebsites.net/index.php/feed/,20.0,3.0,2016.0
242,http://filipcinik.azurewebsites.net/index.php/feed/,16.0,3.0,2016.0
243,http://filipcinik.azurewebsites.net/index.php/feed/,12.0,3.0,2016.0
244,http://filipcinik.azurewebsites.net/index.php/feed/,12.0,3.0,2016.0
245,http://filipcinik.azurewebsites.net/index.php/feed/,6.0,3.0,2016.0
246,http://filipcinik.azurewebsites.net/index.php/feed/,3.0,3.0,2016.0
247,http://filipcinik.azurewebsites.net/index.php/feed/,28.0,2.0,2016.0
248,http://emigd.azurewebsites.net/feed.xml,25.0,3.0,2016.0
249,http://emigd.azurewebsites.net/feed.xml,20.0,3.0,2016.0
250,http://emigd.azurewebsites.net/feed.xml,16.0,3.0,2016.0
251,http://emigd.azurewebsites.net/feed.xml,13.0,3.0,2016.0
252,http://emigd.azurewebsites.net/feed.xml,8.0,3.0,2016.0
253,http://emigd.azurewebsites.net/feed.xml,4.0,3.0,2016.0
254,http://emigd.azurewebsites.net/feed.xml,1.0,3.0,2016.0
255,http://emigd.azurewebsites.net/feed.xml,7.0,2.0,2016.0
256,http://www.devanarch.com/feed/,26.0,3.0,2016.0
257,http://www.devanarch.com/feed/,14.0,3.0,2016.0
258,http://www.devanarch.com/feed/,13.0,3.0,2016.0
259,http://www.devanarch.com/feed/,7.0,3.0,2016.0
260,http://www.devanarch.com/feed/,5.0,3.0,2016.0
261,http://www.devanarch.com/feed/,19.0,2.0,2016.0
262,http://www.devanarch.com/feed/,13.0,2.0,2016.0
263,http://www.devanarch.com/feed/,7.0,2.0,2016.0
264,http://knowakowski.azurewebsites.net/feed/,26.0,3.0,2016.0
265,http://knowakowski.azurewebsites.net/feed/,18.0,3.0,2016.0
266,http://knowakowski.azurewebsites.net/feed/,14.0,3.0,2016.0
267,http://knowakowski.azurewebsites.net/feed/,9.0,3.0,2016.0
268,http://knowakowski.azurewebsites.net/feed/,8.0,3.0,2016.0
269,http://knowakowski.azurewebsites.net/feed/,5.0,3.0,2016.0
270,http://knowakowski.azurewebsites.net/feed/,1.0,3.0,2016.0
271,http://knowakowski.azurewebsites.net/feed/,7.0,2.0,2016.0
272,http://knowakowski.azurewebsites.net/feed/,7.0,2.0,2016.0
273,http://knowakowski.azurewebsites.net/feed/,6.0,2.0,2016.0
274,http://www.adambac.com/feed.xml,25.0,3.0,2016.0
275,http://www.adambac.com/feed.xml,24.0,3.0,2016.0
276,http://www.adambac.com/feed.xml,18.0,3.0,2016.0
277,http://www.adambac.com/feed.xml,17.0,3.0,2016.0
278,http://www.adambac.com/feed.xml,12.0,3.0,2016.0
279,http://www.adambac.com/feed.xml,8.0,3.0,2016.0
280,http://www.adambac.com/feed.xml,4.0,3.0,2016.0
281,http://www.adambac.com/feed.xml,1.0,3.0,2016.0
282,http://www.adambac.com/feed.xml,22.0,2.0,2016.0
283,http://www.adambac.com/feed.xml,19.0,2.0,2016.0
284,http://tomaszkorecki.com/feed/,22.0,3.0,2016.0
285,http://tomaszkorecki.com/feed/,19.0,3.0,2016.0
286,http://tomaszkorecki.com/feed/,15.0,3.0,2016.0
287,http://tomaszkorecki.com/feed/,11.0,3.0,2016.0
288,http://tomaszkorecki.com/feed/,8.0,3.0,2016.0
289,http://tomaszkorecki.com/feed/,6.0,3.0,2016.0
290,http://tomaszkorecki.com/feed/,4.0,3.0,2016.0
291,http://tomaszkorecki.com/feed/,1.0,3.0,2016.0
292,http://tomaszkorecki.com/feed/,4.0,2.0,2016.0
293,http://www.sebastiangruchacz.pl/feed/,24.0,3.0,2016.0
294,http://www.sebastiangruchacz.pl/feed/,21.0,3.0,2016.0
295,http://www.sebastiangruchacz.pl/feed/,21.0,3.0,2016.0
296,http://www.sebastiangruchacz.pl/feed/,14.0,3.0,2016.0
297,http://www.sebastiangruchacz.pl/feed/,9.0,3.0,2016.0
298,http://www.sebastiangruchacz.pl/feed/,7.0,3.0,2016.0
299,http://www.sebastiangruchacz.pl/feed/,8.0,2.0,2016.0
300,http://www.sebastiangruchacz.pl/feed/,31.0,3.0,2015.0
301,http://www.sebastiangruchacz.pl/feed/,17.0,10.0,2014.0
302,http://www.sebastiangruchacz.pl/feed/,15.0,9.0,2014.0
303,http://paweltymura.pl/feed/,25.0,3.0,2016.0
304,http://paweltymura.pl/feed/,23.0,3.0,2016.0
305,http://paweltymura.pl/feed/,23.0,3.0,2016.0
306,http://paweltymura.pl/feed/,18.0,3.0,2016.0
307,http://paweltymura.pl/feed/,17.0,3.0,2016.0
308,http://paweltymura.pl/feed/,17.0,3.0,2016.0
309,http://paweltymura.pl/feed/,9.0,3.0,2016.0
310,http://paweltymura.pl/feed/,9.0,3.0,2016.0
311,http://paweltymura.pl/feed/,8.0,3.0,2016.0
312,http://paweltymura.pl/feed/,8.0,3.0,2016.0
313,http://www.pyrzyk.net/feed/,24.0,3.0,2016.0
314,http://www.pyrzyk.net/feed/,21.0,3.0,2016.0
315,http://www.pyrzyk.net/feed/,17.0,3.0,2016.0
316,http://www.pyrzyk.net/feed/,13.0,3.0,2016.0
317,http://www.pyrzyk.net/feed/,7.0,3.0,2016.0
318,http://www.pyrzyk.net/feed/,3.0,3.0,2016.0
319,http://www.pyrzyk.net/feed/,1.0,3.0,2016.0
320,http://www.pyrzyk.net/feed/,5.0,7.0,2015.0
321,http://www.pyrzyk.net/feed/,4.0,7.0,2015.0
322,http://www.pyrzyk.net/feed/,19.0,4.0,2015.0
323,http://marcinszyszka.pl/feed/,23.0,3.0,2016.0
324,http://marcinszyszka.pl/feed/,20.0,3.0,2016.0
325,http://marcinszyszka.pl/feed/,16.0,3.0,2016.0
326,http://marcinszyszka.pl/feed/,13.0,3.0,2016.0
327,http://marcinszyszka.pl/feed/,9.0,3.0,2016.0
328,http://marcinszyszka.pl/feed/,6.0,3.0,2016.0
329,http://marcinszyszka.pl/feed/,2.0,3.0,2016.0
330,http://marcinszyszka.pl/feed/,1.0,3.0,2016.0
331,http://marcinszyszka.pl/feed/,14.0,2.0,2016.0
332,http://marcinszyszka.pl/feed/,9.0,2.0,2016.0
333,http://blog.kars7e.io/feed.xml,4.0,3.0,2016.0
334,http://blog.kars7e.io/feed.xml,1.0,3.0,2016.0
335,http://blog.kars7e.io/feed.xml,12.0,2.0,2016.0
336,http://blog.kars7e.io/feed.xml,12.0,9.0,2013.0
337,http://blog.kars7e.io/feed.xml,23.0,6.0,2013.0
338,http://blog.kars7e.io/feed.xml,4.0,7.0,2012.0
339,http://blog.kars7e.io/feed.xml,17.0,5.0,2010.0
340,http://blog.kars7e.io/feed.xml,14.0,5.0,2010.0
341,http://blog.kars7e.io/feed.xml,10.0,5.0,2010.0
342,http://blog.kars7e.io/feed.xml,10.0,5.0,2010.0
343,http://blog.kars7e.io/feed.xml,10.0,5.0,2010.0
344,http://dyzur.blogspot.com/feeds/posts/default,25.0,2.0,2016.0
345,http://dyzur.blogspot.com/feeds/posts/default,17.0,2.0,2016.0
346,http://dyzur.blogspot.com/feeds/posts/default,17.0,2.0,2016.0
347,http://dyzur.blogspot.com/feeds/posts/default,9.0,2.0,2016.0
348,http://mateorobiapke.blogspot.com/feeds/posts/default,21.0,3.0,2016.0
349,http://mateorobiapke.blogspot.com/feeds/posts/default,9.0,3.0,2016.0
350,http://mateorobiapke.blogspot.com/feeds/posts/default,2.0,3.0,2016.0
351,http://tomasz.dudziak.eu/feed/,14.0,3.0,2016.0
352,http://tomasz.dudziak.eu/feed/,6.0,3.0,2016.0
353,http://tomasz.dudziak.eu/feed/,23.0,2.0,2016.0
354,http://tomasz.dudziak.eu/feed/,13.0,2.0,2016.0
355,http://perceptrons.prv.pl/feed/,21.0,2.0,2016.0
